Producto,Descripción,Partida / Lote,Certificado,Observaciones
AC1200-4I890527,"CODO LR 90° 12"" SCH 80 WPB A234",,,
AC1200-4I890528,"CODO RC 90° 12"" SCH80 WPB A234",,,
AC1200-4IS90527,"CODO LR 90° 12"" SCH STD WPB A234",,,
AC1200-4IS90556,"CODO LR 90° 12"" SCH STD WPHY 56",,,
AC1200-4IX90527,"CODO LR 90° 12"" SCH XS WPB A234",,,
AC1200-4K220527,"TEE TOT 12"" SCH 20 WPB A234",,,
AC1200-4K240527,"TEE TOT 12"" SCH 40 WPB A234",,,
AC1200-4K280527,"TEE TOT 12"" SCH 80 WPB A234",,,
AC1200-4K2ST527,"TEE TOT 12"" SCH STD WPB A234",,,
AC1200-4K2XS527,"TEE TOT 12"" SCH XS WPB A234",,,
AC1200-94040527,"CASQUETE 12"" SCH 40 WPB A234",,,
AC1200-94080527,"CASQUETE 12"" SCH 80 WPB A234",,,
AC1200-94090527,"CASQUETE 12"" SCH XXS WPB A234",,,
AC1200-940ST527,"CASQUETE 12"" SCH STD WPB A234",,,
AC1200-940XS527,"CASQUETE 12"" SCH XS WPB A234",,,
AC1200BCI1R305,"BRIDA 12"" BCI #150 RF A105",,,
AC1200BCI2R305,"BRIDA 12"" BCI #300 RF A105",,,
AC1200BCI3R305,"BRIDA 12"" BCI #600 RF A105",,,
AC1200BSO1R305,"BRIDA 12"" BSO #150 RF A105",,,
AC1200BSO3R305,"BRIDA 12"" BSO #600 RF A105",,,
AC1200BWN1R105,"BRIDA 12"" BWN #150 RF SCH20 A105",,,
AC1200BWN1R305,"BRIDA 12"" BWN #150 RF SCH40 A105",,,
AC1200BWN1R505,"BRIDA 12"" BWN #150 RF SCH80 A105",,,
AC1200BWN2R305,"BRIDA 12"" BWN #300 RF SCH40 A105",,,
AC1200BWN2R505,"BRIDA 12"" BWN #300 RF SCH80 A105",,,
AC1200BWN3R505,"BRIDA 12"" BWN #600 RF SCH80 A105",,,
AC1200BWN3R794,"BRIDA 12"" BWN  #600 RF SCH160 A694 GR70",,,
AC1200BWN4J705,"BRIDA 12"" BWN #900 RTJ SCH160 A105",,,
AC1206-4K324527,"TEE RED 12"" X 6"" SCH 20/40 WPB A234",,,
AC1206-4K340527,"TEE RED 12"" X 6"" SCH 40 WPB A234",,,
AC1206-4K380527,"TEE RED 12"" X 6"" SCH 80 WPB A234",,,
AC1206-4K390527,"TEE RED 12"" X 6"" SCH XXS WPB A234",,,
AC1206-4K3XS527,"TEE RED 12"" X 6"" SCH XS WPB A234",,,
AC1206-4RC40527,"RED CONC 12"" X 6"" SCH 40 WPB A234",,,
AC1206-4RC80527,"RED CONC 12"" X 6"" SCH 80 WPB A234",,,
AC1206-4RC90527,"RED CONC 12"" X 6"" SCH XXS WPB A234",,,
AC1206-4RCXS527,"RED CONC 12"" X 6"" SCH XS WPB A234",,,
AC1206-4RE24527,"RED EXC 12"" X 6"" SCH 20/40 WPB A234",,,
AC1206-4RE40527,"RED EXC 12"" X 6"" SCH 40 WPB A234",,,
AC1206-4RE80527,"RED EXC 12"" X 6"" SCH 80 WPB A234",,,
AC1208-4K320527,"TEE RED 12"" X 8"" SCH 20 WPB A234",,,
AC1208-4K340527,"TEE RED 12"" X 8"" SCH 40 WPB A234",,,
AC1208-4K380527,"TEE RED 12"" X 8"" SCH 80 WPB A234",,,
AC1208-4K390527,"TEE RED 12"" X 8"" SCH XXS WPB A234",,,
AC1208-4K3ST527,"TEE RED 12"" X 8"" SCH STD  WPB A234",,,
AC1208-4K3XS527,"TEE RED 12"" X 8"" SCH XS WPB A234",,,
AC1208-4RC20527,"RED CONC 12"" X 8"" SCH 20 WPB A234",,,
AC1208-4RC40527,"RED CONC 12"" X 8"" SCH 40 WPB A234",,,
AC1208-4RC50527,"RED CONC 12"" X 8"" SCH 120 WPB A234",,,
AC1208-4RE20527,"RED EXC 12"" X 8"" SCH 20 WPB A234",,,
AC1208-4RE40527,"RED EXC 12"" X 8"" SCH 40 WPB A234",,,
AC1208-4RE80527,"RED EXC 12"" X 8"" SCH 80 WPB A234",,,
AC1210-4K320527,"TEE RED 12"" X 10"" SCH 20 WPB A234",,,
AC1210-4K340527,"TEE RED 12"" X 10"" SCH 40 WPB A234",,,
AC1210-4K380527,"TEE RED 12"" X 10"" SCH 80 WPB A234",,,
AC1210-4K3ST527,"TEE RED 12"" X 10"" SCH STD WPB A234",,,
AC1210-4RC20527,"RED CONC 12"" X 10"" SCH 20 WPB A234",,,
AC1210-4RC40527,"RED CONC 12"" X 10"" SCH 40 WPB A234",,,
AC1210-4RC80527,"RED CONC 12"" X 10"" SCH 80 WPB A234",,,
AC1210-4RCST527,"RED CONC 12"" X 10"" SCH STD WPB A234",,,
AC1210-4RCXS527,"RED CONC 12"" X 10"" SCH XS WPB A234",,,
AC1210-4RE20527,"RED EXC 12"" X 10"" SCH 20 WPB A234",,,
AC1210-4RE80527,"RED EXC 12"" X 10"" SCH 80 WPB A234",,,
AC1210-4RES3527,"RED EXC 12"" X 10"" SCH STD/30  WPB A234",,,
AC1210-4REST527,"RED EXC 12"" X 10"" SCH STD WPB A234",,,
AC1400-23S20106,"CAÑO S/C 14"" SCH 20 ASTM A106 GR.B",,,
AC1400-4I190527,"CODO LR 90° 14"" SCH 10 WPB A234",,,
AC1400-4I245527,"CODO LR 45° 14"" SCH 20 WPB A234",,,
AC1400-4I290527,"CODO LR 90° 14"" SCH 20 WPB A234",,,
AC1400-4I445527,"CODO LR 45° 14"" SCH 40 WPB A234",,,
AC1400-4I490527,"CODO LR 90° 14"" SCH 40 WPB A234",,,
AC1400-4I845527,"CODO LR 45° 14"" SCH 80 WPB A234",,,
AC1400-4I890527,"CODO LR 90° 14"" SCH 80 WPB A234",,,
AC1400-4IS90527,"CODO LR 90° 14"" SCH STD WPB A234",,,
AC1400-4K210527,"TEE TOT 14"" SCH 10 WPB A234",,,
AC1400-4K220527,"TEE TOT 14"" SCH 20 WPB A234",,,
AC1400-4K240527,"TEE TOT 14"" SCH 40 WPB A234",,,
AC1400-4K280527,"TEE TOT 14"" SCH 80 WPB A234",,,
AC1400-94040527,"CASQUETE 14"" SCH 40 WPB A234",,,
AC1400-940XS527,"CASQUETE 14"" SCH XS WPB A234",,,
AC1400BCI1R305,"BRIDA 14"" BCI #150 RF A105",,,
AC1400BWN3R505,"BRIDA 14"" BWN #600 RF SCH80 A105",,,
AC1408-4K320527,"TEE RED 14"" X 8"" SCH 20 WPB A234",,,
AC1408-4K340527,"TEE RED 14"" X 8"" SCH 40 WPB A234",,,
AC1408-4K380527,"TEE RED 14"" X 8"" SCH 80 WPB A234",,,
AC1408-4K3XS527,"TEE RED 14"" X 8"" SCH XS WPB A234",,,
AC1410-4K320527,"TEE RED 14"" X 10"" SCH 20 WPB A234",,,
AC1410-4K340527,"TEE RED 14"" X 10"" SCH 40 WPB A234",,,
AC1410-4K380527,"TEE RED 14"" X 10"" SCH 80 WPB A234",,,
AC1410-4K3ST527,"TEE RED 14"" X 10"" SCH STD WPB A234",,,
AC1410-4RC20527,"RED CONC 14"" X 10"" SCH 20 WPB A234",,,
AC1410-4RC40527,"RED CONC 14"" X 10"" SCH 40 WPB A234",,,
AC1410-4RC80527,"RED CONC 14"" X 10"" SCH 80 WPB A234",,,
AC1410-4RE40527,"RED EXC 14"" X 10"" SCH 40 WPB A234",,,
AC1410-4RE80527,"RED EXC 14"" X 10"" SCH 80 WPB A234",,,
AC1412-4K320527,"TEE RED 14"" X 12"" SCH 20 WPB A234",,,
AC1412-4K340527,"TEE RED 14"" X 12"" SCH 40 WPB A234",,,
AC1412-4K380527,"TEE RED 14"" X 12"" SCH 80 WPB A234",,,
AC1412-4RC20527,"RED CONC 14"" X 12"" SCH 20 WPB A234",,,
AC1412-4RC80527,"RED CONC 14"" X 12"" SCH 80 WPB A234",,,
AC1412-4RE20527,"RED EXC 14"" X 12"" SCH 20 WPB A234",,,
AC1501-4RC40527,"RED CONC 1 1/2"" X 1"" SCH 40 WPB A234",,,
AC1501-4RC80527,"RED CONC 1 1/2"" X 1"" SCH 80 WPB A234",,,
AC1600-23S20106,"CAÑO S/C 16"" SCH 20 ASTM A106 GR.B",,,
AC1600-4I245527,"CODO LR 45° 16"" SCH 20 WPB A234",,,
AC1600-4I290527,"CODO LR 90° 16"" SCH 20 WPB A234",,,
AC1600-4I445527,"CODO LR 45° 16"" SCH 40 WPB A234",,,
AC1600-4I890527,"CODO LR 90° 16"" SCH 80 WPB A234",,,
AC1600-4IS45527,"CODO LR 45° 16"" SCH STD WPB A234",,,
AC1600-4IS90527,"CODO LR 90° 16"" SCH STD WPB A234",,,
AC1600-4IS90552,"CODO LR 90° 16"" SCH STD WPHY 52",,,
AC1600-4K220527,"TEE TOT 16"" SCH 20 WPB A234",,,
AC1600-4K230570,"TEE TOT 16"" SCH 30 WPHY GR 70",,,
AC1600-4K240527,"TEE TOT 16"" SCH 40 WPB A234",,,
AC1600-4K260570,"TEE TOT 16"" SCH 60 WPHY GR 70",,,
AC1600-4K280527,"TEE TOT 16"" SCH 80 WPB A234",,,
AC1600-94040527,"CASQUETE 16"" SCH 40 WPB A234",,,
AC1600-94080527,"CASQUETE 16"" SCH 80 WPB A234",,,
AC1600-940ST527,"CASQUETE 16"" SCH STD WPB A234",,,
AC1600-940XS527,"CASQUETE 16"" SCH XS WPB A234",,,
AC1600BCI1R305,"BRIDA 16"" BCI #150 RF A105",,,
AC1600BCI3R305,"BRIDA 16"" BCI #600 RF A105",,,
AC1600BSO1R305,"BRIDA 16"" BSO #150 RF A105",,,
AC1600BWN1R105,"BRIDA 16"" BWN #150 RF SCH20 A105",,,
AC1600BWN1R305,"BRIDA 16"" BWN #150 RF SCH40 A105",,,
AC1600BWN3R305,"BRIDA 16"" BWN #600 RF SCH40 A105",,,
AC1600BWN3R505,"BRIDA 16"" BWN #600 RF SCH80 A105",,,
AC1600BWN3R794,"BRIDA 16"" BWN #600 RF SCH160 A694 GR70",,,
AC1600BWN4J505,"BRIDA 16"" BWN #900 RTJ SCH80 A105",,,
AC1606-4K340527,"TEE RED 16"" X 6"" SCH 40 WPB A234",,,
AC1606-4K380527,"TEE RED 16"" X 6"" SCH 80 WPB A234",,,
AC1608-4K320527,"TEE RED 16"" X 8"" SCH 20 WPB A234",,,
AC1608-4K340527,"TEE RED 16"" X 8"" SCH 40 WPB A234",,,
AC1608-4K3ST527,"TEE RED 16"" X 8"" SCH STD WPB A234",,,
AC1608-4RC30570,"RED CONC 16"" X 8"" SCH 30 WPHY GR70",,,
AC1608-4RC40527,"RED CONC 16"" X 8"" SCH 40 WPB A234",,,
AC1608-4RC68570,"RED CONC 16"" X 8"" SCH 60/80 WPHY GR70",,,
AC1608-4RE20527,"RED EXC 16"" X 8"" SCH 20 WPB A234",,,
AC1608-4RE80527,"RED EXC 16"" X 8"" SCH 80 WPB A234",,,
AC1610-4K320527,"TEE RED 16"" X 10"" SCH 20 WPB A234",,,
AC1610-4RC20527,"RED CONC 16"" X 10"" SCH 20 WPB A234",,,
AC1610-4RC80527,"RED CONC 16"" X 10"" SCH 80 WPB A234",,,
AC1610-4RE80527,"RED EXC 16"" X 10"" SCH 80 WPB A234",,,
AC1612-4K320527,"TEE RED 16"" X 12"" SCH 20 WPB A234",,,
AC1612-4K340527,"TEE RED 16"" X 12"" SCH 40 WPB A234",,,
AC1612-4K3ST527,"TEE RED 16"" X 12"" SCH STD WPB A234",,,
AC1612-4RC20527,"RED CONC 16"" X 12"" SCH 20 WPB A234",,,
AC1612-4RC40527,"RED CONC 16"" X 12"" SCH 40 WPB A234",,,
AC1612-4RC80527,"RED CONC 16"" X 12"" SCH 80 WPB A234",,,
AC1612-4RE20527,"RED EXC 16"" X 12"" SCH 20 WPB A234",,,
AC1612-4RE80527,"RED EXC 16"" X 12"" SCH 80 WPB A234",,,
AC1612-4REST527,"RED EXC 16"" X 12"" SCH STD WPB A234",,,
AC1614-4K340527,"TEE RED 16"" X 14"" SCH 40 WPB A234",,,
AC1614-4K380527,"TEE RED 16"" X 14"" SCH 80 WPB A234",,,
AC1614-4RC20527,"RED CONC 16"" X 14"" SCH 20 WPB A234",,,
AC1614-4RC40527,"RED CONC 16"" X 14"" SCH 40 WPB A234",,,
AC1614-4RC80527,"RED CONC 16"" X 14"" SCH 80 WPB A234",,,
AC1614-4RE40527,"RED EXC 16"" X 14"" SCH 40 WPB A234",,,
AC1614-4RE80527,"RED EXC 16"" X 14"" SCH 80 WPB A234",,,
AC1800-4I245527,"CODO LR 45° 18"" SCH 20 WPB A234",,,
AC1800-4I290527,"CODO LR 90° 18"" SCH 20 WPB A234",,,
AC1800-4I445527,"CODO LR 45° 18"" SCH 40 WPB A234",,,
AC1800-4I490527,"CODO LR 90° 18"" SCH 40 WPB A234",,,
AC1800-4I845527,"CODO LR 45° 18"" SCH 80 WPB A234",,,
AC1800-4I890527,"CODO LR 90° 18"" SCH 80 WPB A234",,,
AC1800-4IS45527,"CODO LR 45° 18"" SCH STD WPB A234",,,
AC1800-4IS90527,"CODO LR 90° 18"" SCH STD WPB A234",,,
AC1800-4K220527,"TEE TOT 18"" SCH 20 WPB A234",,,
AC1800-4K240527,"TEE TOT 18"" SCH 40 WPB A234",,,
AC1800-4K280527,"TEE TOT 18"" SCH 80 WPB A234",,,
AC1800-940XS527,"CASQUETE 18"" SCH XS WPB A234",,,
AC1800BSO1R305,"BRIDA 18"" BSO #150 RF A105",,,
AC1800BWN1R305,"BRIDA 18"" BWN #150 RF SCH40 A105",,,
AC1800BWN2R205,"BRIDA 18"" BWN #300 RF SCH30 A105",,,
AC1800BWN2R305,"BRIDA 18"" BWN #300 RF SCH40 A105",,,
AC1800BWN2R505,"BRIDA 18"" BWN #300 RF SCH80 A105",,,
AC1810-4RC20527,"RED CONC 18"" X 10"" SCH 20 WPB A234",,,
AC1816-4RC20527,"RED CONC 18"" X 16"" SCH 20 WPB A234",,,
AC2000-4I145527,"CODO LR 45° 20"" SCH 10 WPB A234",,,
AC2000-4I190527,"CODO LR 90° 20"" SCH 10 WPB A234",,,
AC2000-4I245527,"CODO LR 45° 20"" SCH 20 WPB A234",,,
AC2000-4I290527,"CODO LR 90° 20"" SCH 20 WPB A234",,,
AC2000-4I845527,"CODO LR 45° 20"" SCH 80 WPB A234",,,
AC2000-4I890527,"CODO LR 90° 20"" SCH 80 WPB A234",,,
AC2000-4K220527,"TEE TOT 20"" SCH 20 WPB A234",,,
AC2000-4K240527,"TEE TOT 20"" SCH 40 WPB A234",,,
AC2000-4K280527,"TEE TOT 20"" SCH 80 WPB A234",,,
AC2000-94040527,"CASQUETE 20"" SCH 40 WPB A234",,,
AC2000-940XS527,"CASQUETE 20"" SCH XS WPB A234",,,
AC2000BCI2R305,"BRIDA 20"" BCI #300 RF A105",,,
AC2000BCI3R305,"BRIDA 20"" BCI #600 RF A105",,,
AC2000BSO1R305,"BRIDA 20"" BSO #150 RF A105",,,
AC2000BWN1R305,"BRIDA 20"" BWN #150 RF SCH40 A105",,,
AC2000BWN2R305,"BRIDA 20"" BWN #300 RF SCH40 A105",,,
AC2000BWN3R505,"BRIDA 20"" BWN #600 RF SCH80 A105",,,
AC2005BCI02N316,"BRIDA RED 2"" X 1/2"" #300 ASTM A182 F316",,,
AC2012-4REST527,"RED EXC 20"" X 12"" SCH STD WPB A234",,,
AC2014-4RC20527,"RED CONC 20"" X 14"" SCH 20 WPB A234",,,
AC2016-4K320527,"TEE RED 20"" X 16"" SCH 20 WPB A234",,,
AC2016-4RC80527,"RED CONC 20"" X 16"" SCH 80 WPB A234",,,
AC2018-4RC40527,"RED CONC 20"" X 18"" SCH 40 WPB A234",,,
AC2018-4REXS527,"RED EXC 20"" X 18"" SCH XS WPB A234",,,
AC211610KBCI,"BRIDA CIEGA 21/16"" 10K",,,
AC211630010MS80,"BRIDA 2.1/16""#10000 BRIDA CIEGA",,,
AC2116BWN10K105,"BRIDA API WN RTJ  2 1/16"" #10000",,,
AC2400-4I145527,"CODO LR 45° 24"" SCH 10 WPB A234",,,
AC2400-4I245527,"CODO LR 45° 24"" SCH 20 WPB A234",,,
AC2400-4I290570,"CODO LR 90° 24"" ESP: 11,13MM WPHY GR 70",,,
AC2400-4I345570,"CODO LR 45° 24"" SCH 30 WPHY GR 70",,,
AC2400-4I390570,"CODO LR 90° 24"" SCH 30 WPHY GR 70",,,
AC2400-4I645570,"CODO LR 45° 24"" SCH 60 WPHY GR 70",,,
AC2400-4I690570,"CODO LR 90° 24"" SCH 60 WPHY GR 70",,,
AC2400-4I845527,"CODO LR 45° 24"" SCH 80 WPB A234",,,
AC2400-4I890527,"CODO LR 90° 24"" SCH 80 WPB A234",,,
AC2400-4K260570,"TEE TOT 24"" SCH 60 WPHY GR 70",,,
AC2400-4K280527,"TEE TOT 24"" SCH 80 WPB A234",,,
AC2400-94040527,"CASQUETE 24"" SCH 40 WPB A234",,,
AC2400-940XS527,"CASQUETE 24"" SCH XS WPB A234",,,
AC2400BCI3R305,"BRIDA 24"" BCI #600 RF A105",,,
AC2400BWN1R205,"BRIDA 24"" BWN #150 RF SCH30 A105",,,
AC2400BWN1R305,"BRIDA 24"" BWN #150 RF SCH40 A105",,,
AC2400BWN2R305,"BRIDA 24"" BWN #300 RF SCH40 A105",,,
AC2400BWN3R505,"BRIDA 24"" BWN #600 RF SCH80 A105",,,
AC2414-4RE23527,"RED EXC 24"" X 14"" SCH STD WPB A234",,,
AC2416-4K320527,"TEE RED 24"" X 16"" SCH 20 WPB A234",,,
AC2416-4K330570,"TEE RED 24"" X 16"" SCH 30 WPHY GR 70",,,
AC2416-4RC20527,"RED CONC 24"" X 16"" SCH 20 WPB A234",,,
AC2416-4RCST527,"RED CONC 24"" X 16"" SCH STD WPB A234",,,
AC2416-4RE20527,"RED EXC 24"" X 16"" SCH 20 WPB A234",,,
AC2418-4RC60570,"RED CONC 24"" X 18"" SCH 60 WPHY GR70",,,
AC2418-4RE60570,"RED EXC 24"" X 18"" SCH 60 WPHY GR70",,,
AC2501-4RC40527,"RED CONC 2 1/2"" X 1"" SCH 40 WPB A234",,,
AC2501-4RC80527,"RED CONC 2 1/2"" X 1"" SCH 80 WPB A234",,,
AC2502-4RC40527,"RED CONC 2 1/2"" X 2"" SCH 40 WPB A234",,,
AC2515-4RC40527,"RED CONC 2 1/2"" X 1 1/2"" SCH 40 WPB A234",,,
AC2515-4RC80527,"RED CONC 2 1/2"" X 1 1/2"" SCH 80 WPB A234",,,
AC291605BCX2003,"BRIDA COMPAÑ 2 9/16"" 5K ROSCA 2"" NPT",,,
AC291610KSCH804,"BRIDA RTJ 2.9/16"" 10K X 4"" SCH80",,,
AC291610KXXS413,"BRIDA API WN RTJ  2 9/16"" #10000",,,
AC3000-94040527,"CASQUETE 30"" SCH 40 WPB A234",,,
AC3000-940XS527,"CASQUETE 30"" SCH XS WPB A234",,,
AC3000BSO1F305,"BRIDA 30"" BSO #150 FF A105",,,
AC3116WN10K414,"BRIDA API WN RTJ  3 1/16"" #10000",,,
AC3600-94040527,"CASQUETE 36"" SCH 40 A234 WPB",,,
AC3600-940XS527,"CASQUETE 36"" SCH XS WPB A234",,,
AC4000-94040527,"CASQUETE 40"" SCH 40 A234 WPB",,,
AC4000-940XS527,"CASQUETE 40"" SCH XS WPB A234",,,
AC8000-445HDPE,"TF TEE A 45° Ø200MM (8"") HDPE",,,
ACM0300LCH-00AL,"ACOPLE MANGUEROTE LCH 3"" ALUMINIO",,,
ACM0300LMN000,"ACOPLE P/MANGUEROTE LNM 3""",,,
ACM0300LNH-B0AL,"ACOPLE MANGUEROTE LNH 3"" BSPT-H ALUMINIO",,,
ACM0300LNHBRC,"ACOPLE BRONCE 3"" MACHO TIPO PERNO",,,
ACM0400LCH000,"ACOPLE ALUMINIO LCH 4""",,,
ACM0400LMN000,"ACOPLE P/MANGUEROTE LNM 4""",,,
"ACMANG8MM1/4""","ACOPLE RAPIDO MANG 8 MM 1/4"" JGO",,,
"ACOPNPTHEMBRA3""","ACOPLE ALUMINIO HEMBRA 3"" NPT",,,
"ACOPNPTMACHO3""","ACOPLE ALUMINIO MACHO 3"" NPT",,,
AERTJBX151OC105,ANILLO DE EMPAQUE RTJ BX 151 SOFT IRON,,,
AERTJBX152OC105,ANILLO DE EMPAQUE RTJ BX 152 SOFT IRON,,,
AERTJBX153OC105,ANILLO DE EMPAQUE RTJ BX 153 SOFT IRON,,,
AERTJBX154OC105,ANILLO DE EMPAQUE RTJ BX 154 SOFT IRON,,,
AERTJBX155OC105,ANILLO DE EMPAQUE RTJ BX 155 SOFT IRON,,,
AERTJBX156OC105,ANILLO DE EMPAQUE RTJ BX 156 SOFT IRON,,,
AERTJBX158OC105,ANILLO DE EMPAQUE RTJ BX 158 SOFT IRON,,,
AERTJBX159OC105,ANILLO DE EMPAQUE RTJ BX 159 SOFT IRON,,,
AERTJBX160OC105,ANILLO DE EMPAQUE RTJ BX 160 SOFT IRON,,,
AERTJBX169OC105,ANILLO DE EMPAQUE RTJ BX 169 SOFT IRON,,,
AERTJR0140OC105,ANILLO DE EMPAQUE RTJ R14 OCT SOFT IRON,,,
AERTJR0160OC105,ANILLO DE EMPAQUE RTJ R16 OCT SOFT IRON,,,
AERTJR0180OC105,ANILLO DE EMPAQUE RTJ R18 OCT SOFT IRON,,,
AERTJR0200OC105,ANILLO DE EMPAQUE RTJ R20 OCT SOFT IRON,,,
AERTJR0230OC105,ANILLO DE EMPAQUE RTJ R23 OCT SOFT IRON,,,
AERTJR0240OC105,ANILLO DE EMPAQUE RTJ R24 OCT SOFT IRON,,,
AERTJR0240OC316,ANILLO DE EMPAQUE RTJ R24 OCT 316,,,
AERTJR0240OV105,ANILLO DE EMPAQUE RTJ R24 OV SOFT IRON,,,
AERTJR0270OC105,ANILLO DE EMPAQUE RTJ R27 OCT SOFT IRON,,,
AERTJR0310OC105,ANILLO DE EMPAQUE RTJ R31 OCT SOFT IRON,,,
AERTJR0320OC105,ANILLO DE EMPAQUE RTJ R32 OCT SOFT IRON,,,
AERTJR0320OV105,ANILLO DE EMPAQUE RTJ R32 OV SOFT IRON,,,
AERTJR0350OC105,ANILLO DE EMPAQUE RTJ R35 OCT SOFT IRON,,,
AERTJR0370OC105,ANILLO DE EMPAQUE RTJ R37 OCT SOFT IRON,,,
AERTJR0390OC105,ANILLO DE EMPAQUE RTJ R39 OCT SOFT IRON,,,
AERTJR0390OV316,ANILLO DE EMPAQUE RTJ R39 OV 316,,,
AERTJR0440OC105,ANILLO DE EMPAQUE RTJ R44 OCT SOFT IRON,,,
AERTJR0450OC105,ANILLO DE EMPAQUE RTJ R45 OCT SOFT IRON,,,
AERTJR0460OC105,ANILLO DE EMPAQUE RTJ R46 OCT SOFT IRON,,,
AERTJR0470OC105,ANILLO DE EMPAQUE RTJ R47 OCT SOFT IRON,,,
AERTJR0490OC105,ANILLO DE EMPAQUE RTJ R49 OCT SOFT IRON,,,
AERTJRX350OC105,ANILLO DE EMPAQUE RTJ RX35 SOFT IRON,,,
AERTJRX390OC105,ANILLO DE EMPAQUE RTJ RX39 SOFT IRON,,,
AERTJRX440OC105,ANILLO DE EMPAQUE RTJ RX44 SOFT IRON,,,
AERTJRX450OC105,ANILLO DE EMPAQUE RTJ RX45 SOFT IRON,,,
AERTJRX460OC105,ANILLO DE EMPAQUE RTJ RX46 SOFT IRON,,,
AERTJRX500OC105,ANILLO DE EMPAQUE RTJ RX50 SOFT IRON,,,
AERTJRX540OC105,ANILLO DE EMPAQUE RTJ RX54 SOFT IRON,,,
AME-KH3VT110S12,ACCIONAMIENTO DE EMERGENCIA KH3 MANUAL,,,
AME-KH7VT300S12,ACCIONAMIENTO DE EMERGENCIA KH7 MANUAL,,,
AME-KH8VT350S12,ACCIONAMIENTO DE EMERGENCIA KH8 MANUAL,,,
AN083BT-CP12RFC,ACT NEUM CREM PIÑON BIGTORK 83SR 12R FC,,,
AN083HPACP12RFC,ACT NEUM HPA SE HEARKEN 083SR 12R FC,,,
AN125HPACP12RFC,ACT NEUM HPA HEARKEN 125SR 12R SE FC,,,
AN140HPACP12RFC,ACT NEUM HPA HEARKEN 140SR 12R SE FC,,,
AN160BT-CP12RFC,ACT NEUM CREM PIÑON BIGTORK 160SR 12R FC,,,
AN190HPACP12RFC,ACT NEUM HPA HEARKEN 190SR 12R SE FC,,,
ANG01018/M,ANGULO DE 1X 1/8 /MT,,,
ANG02050/M,"H. PLANCHUELA 2 1/2 X 3/4""",,,
AP0100050015R51,"ANILLO PURGA 1"" #150 1/2"" RF A516 G70",,,
AP0100050030R51,"ANILLO PURGA 1"" #300 1/2"" RF A516 G70",,,
AP0100050090J51,"ANILLO PURGA 1"" #900 1/2"" RTJ A516 G70",,,
AP0100050090R51,"ANILLO PURGA 1"" #900 1/2"" RF A516 G70",,,
AP0100075060R51,"ANILLO PURGA 1"" #600 3/4"" RF A516 G70",,,
AP0150050030R51,"ANILLO PURGA 11/2"" #300 1/2"" RF A516 G70",,,
AP0200050015R51,"ANILLO PURGA 2"" #150 1/2"" RF A516 G70",,,
AP0200050060R51,"ANILLO PURGA 2"" #600 1/2"" RF A516 G70",,,
AP0200050090J51,"ANILLO PURGA 2"" #900 1/2"" RTJ A516 G70",,,
AP0200050090R51,"ANILLO PURGA 2"" #900 1/2"" RF A516 G70",,,
AP0250050015R51,"ANILLO PURGA 21/2"" #150 1/2"" RF A516 G70",,,
AP0300050015R51,"ANILLO PURGA 3"" #150 1/2"" RF A516 G70",,,
AP0300050030R51,"ANILLO PURGA 3"" #300 1/2"" RF A516 G70",,,
AP0300050090R51,"ANILLO PURGA 3"" #900 1/2"" RF A516 G70",,,
AP0300075030F51,"ANILLO PURGA 3"" #300 3/4"" FF A516 G70",,,
AP0400050030R51,"ANILLO PURGA 4"" #300 1/2"" RF A516 G70",,,
AP0400050060R51,"ANILLO PURGA 4"" #600 1/2"" RF A516 G70",,,
AP0400075015R51,"ANILLO PURGA 4"" #150 3/4"" RF A516 G70",,,
AP0400075060R51,"ANILLO PURGA 4"" #600 3/4"" RF A516 G70",,,
AP0400075090J51,"ANILLO PURGA 4"" #900 3/4"" RTJ A516 G70",,,
AP0400075090R51,"ANILLO PURGA 4"" #900 3/4"" RF A516 G70",,,
AP0400S75015R16,"ANILLO PURGA 4"" #150 3/4"" SW RF 316",,,
AP0400S75015R51,"ANILLO PURGA 4"" #150 3/4"" SW RF A516 70",,,
AP0600050060R51,"ANILLO PURGA 6"" #600 1/2"" RF A516 G70",,,
AP0600075015R51,"ANILLO PURGA 6"" #150 3/4"" RF A516 G70",,,
AP0600075060R51,"ANILLO PURGA 6"" #600 3/4"" RF A516 G70",,,
AP0800050015R51,"ANILLO PURGA 8"" #150 1/2"" RF A516 G70",,,
AP0800050060R51,"ANILLO PURGA 8"" #600 1/2"" RF A516 G70",,,
AP0800075015R51,"ANILLO PURGA 8"" #150 3/4"" RF A516 G70",,,
AP0800075030R51,"ANILLO PURGA 8"" #300 3/4"" RF A516 G70",,,
AP0800075060R51,"ANILLO PURGA 8"" #600 3/4"" RF A516 G70",,,
AP1200075015R51,"ANILLO PURGA 12"" #150 3/4"" RF A516 G70",,,
AP1600075060R51,"ANILLO PURGA 16"" #600 3/4"" RF A516 G70",,,
AP3116050100R51,"ANILLO PURGA 31/16 10000 ORIF 1/2"" A516",,,
ARA0120-F436,"ARANDELA PLANA 3/4"" F436 ZINC",,,
ARA0140-F436,"ARANDELA PLANA 5/8"" F436 ZINC",,,
ARA0150-F436,"ARANDELA PLANA 11/2"" F436 ZINC",,,
ARA0160-GALV,"ARANDELA PLANA 7/8"" F436 GALV",,,
ARA0170-F436,"ARANDELA PLANA 1"" F436 ZINC",,,
